Title,Romanised Title,A.K.A,Publisher(s),Year Release,Region,Decision,Platform,Rating,Consumer Advice,Decision Date,More Info
DYNASTY WARRIORS 7 EMPIRES,DYNASTY WARRIORS 7 EMPIRES,SHIN SANGOKU MUSOU 6 EMPIRES,TECMO KOEI GAMES CO. LTD,2013,ASIA,Approved,Sony Playstation 3,General,,18/01/2013,
SAINTS ROW 4,SAINTS ROW IV,,KOCH MEDIA,2013,ASIA,Approved,"PC,Sony Playstation 3,Xbox 360",Mature 18,MATURE CONTENT AND STRONG COARSE LANGUAGE,10/07/2013,"‘Saints Row IV’ is an open-world action game, where the player assumes the role of the President of the United States. The main character was a former leader of a street gang, who was elected to the Presidency after he saved the world by disabling a nuclear missile. An alien invasion led by Zinyak of the Zin Empire, threatens to destroy humanity. The President and his cabinet, made up of former gangsters, are kidnapped and placed in a virtual city simulator. The player has to rescue and reassemble his crew in order to defeat Zinyak. This game is rated M18 for mature content and strong coarse language. The main character’s gender, race and appearance can be fully customized with a variety of modifiers as well as clothing and hair styles. The player can use a range of melee attacks, super powers and weapons in combat. There are frequent blood splatter effects, with the blood staining surrounding surfaces and pooling under bodies. Some cinematic scenes depict violence, such as a character being repeatedly stabbed, and an alien’s head being ripped off. The guidelines at M18 state that “Realistic violence such as killing, maiming or causing serious injury to humanoid characters can be allowed if not sadistic, cruel and abhorrent.” The player may encounter kissing scenes and implied intimacy between same-gender characters, without any nudity or sexual activity depicted. These optional scenes are permitted under M18 which allows “Portrayal of sexual activity with some nudity, both topless and frontal, if not detailed” and states that “Homosexual activity should be limited to kissing and hugging.” The player character is sometimes depicted fully naked, but at all times there will be a mosaic effect covering the character’s vital areas such as genitalia and breasts (for female characters). A magazine cover and some posters in the environment depict a bare-breasted woman with her nipples visible. An optional mission depicts the main character and companions consuming fictional alien drugs in order to enhance their powers, without any detailed preparation sequence and substances depicted. The content is within M18 guidelines which state that “There may be realistic depiction of illegal drug use, but portrayal should not include instructive details.” Frequent strong coarse language such as ‘motherf***er’ and variations of ‘f**k’ can be heard in the dialogue. These are acceptable under M18 where “Frequent use of strong coarse language” is permitted."
ARMY OF TWO: THE DEVIL'S CARTEL,ARMY OF TWO: THE DEVIL'S CARTEL,ARMY OF TWO: DEVIL’S CARTEL OVERKILL EDITION,ELECTRONIC ARTS,2013,ASIA,Approved,"Sony Playstation 3,Xbox 360",Mature 18,VIOLENCE AND GORE,17/01/2013,"‘Army of Two: The Devil’s Cartel’ is a third-person shooter in which the player takes on the role of a new operative working for a tactical military group. Several years after an abrupt end to an extraction mission at a compound in South America, the military group is once again deployed at the same compound and come face to face with the drug cartel that is running illegal operations in it. This game is classified M18 with the consumer advice “Violence and Gore”. Players are required to take down hostile human enemies in an area before they are allowed to proceed to the next level. Whenever enemies are shot at specific parts of the body, realistic injuries such as decapitations and dismemberments can occur to them. These injuries are often accompanied with realistic blood spurting and blood stains that appear on nearby surfaces and on the screen. Dismembered body parts, corpses and blood stains remain permanently visible until the player moves to the next level. Corpses can be further mutilated and dismembered if the player continues to fire at them. Other than the use of firearms, the player character can perform melee kills such as stabbing at the side of an enemy’s throat with a combat knife. A special combat ability triggered by the player will slow-down time thereby allowing the player to overcome multiple enemies. The use of this ability increases the overall impact of violence as dismemberments, decapitations and accompanying blood effects are depicted in slow-motion. Under the M18 guidelines for violence, “depictions of realistic violence such as killing, maiming or causing other serious injury to humanoid characters, if it is not sadistic, cruel or abhorrent” can be allowed. Coarse language is used occasionally in the game’s dialogue, including ‘motherf**ker’ and ‘f**k’. “Frequent use of strong coarse language, such as “mother**ker”, “c*nt”, and “c**ksucker”” is allowed under the M18 guidelines."
DEADPOOL,DEADPOOL,,ACTIVISION,2013,US,Approved,"Sony Playstation 3,Xbox 360",Mature 18,VIOLENCE AND GORE,28/01/2013,"‘Deadpool’ is an action game that revolves around the Marvel Comics character, Deadpool. Envious of other Marvel characters who have their own videogames, he compels a game developer to make a video game that revolves around him. Deadpool receives a script detailing the game plot and sets off on a mission to capture an evil media mogul. Along the way, he crosses paths with other Marvel characters like the X-men and the villainous Mr Sinister. This game is classified M18 with the consumer advice “Violence and Gore”. During game play, the player character uses a variety of weapons to kill human or mutant enemies. When specific body parts are targeted, dismemberments and decapitations can occur. Enemy corpses can also be further mutilated when attacked. These portrayals of realistic injuries occur with blood effects such as blood spurting and blood stains. Specific weapons can also cause enemies to burst into a gush of blood, creating blood stains on nearby surfaces. Stealth kills can be executed when the player character creeps up on an unsuspecting enemy, with dismemberment or decapitation depicted in close-up view. In some instances, the player character is depicted with parts of his body missing, such as his arm or lower torso. Although these depictions of dismemberments are not a result of combat, they contain details such as the intestines and blood spurts. The player character has to retrieve his missing body parts before progress can be made to the next level. The depiction of realistic injuries falls within the M18 guidelines, where “depictions of realistic violence such as killing, maiming or causing other serious injury to humanoid characters, if it is not sadistic, cruel or abhorrent” are allowed. Some of the dialogue lines uttered by the player character are sexually suggestive, making references to female body parts such as the breasts. Coarse language is used frequently in the game and includes the words ‘motherf**ker’ and ‘f**k’. The “frequent use of strong coarse language, such as “mother**ker”, “c*nt” and “c**ksucker”” is allowed under the M18 guidelines."
STARCRAFT II: HEART OF THE SWARM,STARCRAFT II: HEART OF THE SWARM,STARCRAFT 2: HEART OF THE SWARM,BLIZZARD ENTERTAINMENT,2013,ASIA,Approved,"Macintosh,PC",General,,23/01/2013,
THE SIMS 3 WORLDS BUNDLE,THE SIMS 3 WORLDS BUNDLE,,ELECTRONIC ARTS,2013,ASIA,Approved,"Macintosh,PC",General,,19/04/2013,
VIRTUA TENNIS 4: WORLD TOUR EDITION,VIRTUA TENNIS 4: WORLD TOUR EDITION,,SEGA,2012,EURO,Approved,Sony PS Vita,General,,29/04/2013,
BEST OF PLAYSTATION NETWORK VOLUME 1,BEST OF PLAYSTATION NETWORK VOLUME 1,BEST OF PLAYSTATION NETWORK VOL. 1,SONY COMPUTER ENTERTAINMENT INC,2013,ASIA,Approved,Sony Playstation 3,General,,02/05/2013,
BEJEWELED 3,BEJEWELED 3,,EA GAMES,2012,US,Approved,"Macintosh,Nintendo DS,PC,Sony Playstation 3,Xbox 360",General,,04/06/2013,
TOMB RAIDER (2013),TOMB RAIDER (2013),,SQUARE ENIX,2013,ASIA,Approved,"PC,Sony Playstation 3,Xbox 360",Mature 18,VIOLENCE,03/01/2013,"‘Tomb Raider (2013)’ is an action adventure game that revolves around the protagonist, Lara Croft. The young explorer set sail on a ship with a filming crew in search of an archaeological site. Along the way a tropical storm capsizes the ship, stranding the entire crew on an unknown island, which turns out to be the final resting place of an ancient goddess. As Lara tries to reunite with the rest of the crew, she soon discovers that the island is inhabited by a group of savages and mercenaries. The leader of the savages intends to sacrifice one of the crew members in a ritual to reanimate the goddess. Lara will have to depend on her survival skills to stop the ritual and rescue everyone off the island. This game is classified M18 with the consumer advice “Violence”. The player character is equipped with weapons, such as bows and arrows, shotguns, assault rifles, handguns, axes and grenades, that are used against human enemies in the game. During combat, blood effects (e.g. blood spurts and blood stains) are depicted when damage is inflicted on the enemy. Counter-attacks and finishing blows also feature impactful violence which depict the player character stabbing an arrow through an enemy’s throat or firing a weapon into the enemy at point blank range. Blood stains will appear on the player character’s body and clothing during and after combat. Explosives, such as grenades, will toss enemies into the air after they are detonated. Oil drums, when shot at, will set nearby enemies aflame. Human body parts (e.g. dismembered limbs and decapitated heads) will be encountered by the player in one of the areas in the game. Other environmental elements, such as human skeletons, mummified corpses and human bodies, can also be found in the game. Realistic injuries are depicted during cut-scenes and “death cams”, which shows the player character being impaled by tree branches or metal pipes. The level of violence is within the M18 guidelines for violence, where “depictions of realistic violence, such as killing, maiming or causing other serious injury to humanoid characters” is allowed. Coarse language, such as the word ‘f**k’, is used frequently in the game’s dialogues."
ARCANIA: THE COMPLETE TALE,ARCANIA: THE COMPLETE TALE,ARCANIA GOLD EDITION (PC VERSION),NORDIC GAMES,2013,EURO,Approved,"Sony Playstation 3,Xbox 360",General,,22/03/2013,
GUNDAM BREAKER,GUNDAM BREAKER,,NAMCO BANDAI,2013,ASIA,Approved,Sony Playstation 3,General,,26/04/2013,
SID MEIER’S CIVILIZATION V: BRAVE NEW WORLD,SID MEIER’S CIVILIZATION V: BRAVE NEW WORLD,,TAKE 2/FIRAXIS GAMES,2013,ASIA,Approved,PC,General,,27/05/2013,
魔女と百騎兵,MAJO TO HYAKKIHEI,THE WITCH AND THE HUNDRED KNIGHTS,NIPPON ICHI,2013,"ASIA,JP",Approved,Sony Playstation 3,General,,17/07/2013,
SPONGEBOB SQUAREPANTS: PLANKTON'S ROBOTIC REVENGE,SPONGEBOB SQUAREPANTS: PLANKTON'S ROBOTIC REVENGE,,ACTIVISION,2013,ASIA,Approved,"Nintendo Wii,Nintendo 3DS,Nintendo Wii U",General,,06/08/2013,
MOSHI MONSTERS: KATSUMA UNLEASHED,MOSHI MONSTERS: KATSUMA UNLEASHED,,ACTIVISION,2013,ASIA,Approved,Nintendo 3DS,General,,06/08/2013,
ANGRY BIRDS: STAR WARS,ANGRY BIRDS STAR WARS,,ACTIVISION,2013,US,Approved,"Nintendo Wii,Nintendo 3DS,Nintendo Wii U,Sony Playstation 3,Sony PS Vita,Xbox 360",General,,06/08/2013,
PUPPETEER,PUPPETEER,,SONY COMPUTER ENTERTAINMENT INC.,2013,ASIA,Approved,Sony Playstation 3,General,,12/08/2013,
ドリームクラブ ZERO SPECIAL EDIPYON!,DREAM C CLUB ZERO SPECIAL EDITION!,ドリームクラブ ゼロ スペシャル エディぴょん!,D3 PUBLISHER,2013,ASIA,Approved,Sony Playstation 3,Age Advisory,,29/01/2013,"‘ドリームクラブ Zero Special Edipyon!’ (Romanised title: Dream C Club Zero Special Edition!) is a dating simulation game. The player character stumbles upon a night lounge called Dream C Club and is given a one-year membership for free. Over the course of the year, the player has to improve the relationship between the player character and hostesses who are working at the night lounge. By visiting the night lounge and going out on dates with the hostesses, the affection level between them will be increased; which will then trigger an event to determine the final outcome of the relationship. This game has been rated with the advisory ‘Suitable for 16 & Above’. The overall theme of the game is not suitable for the young. The player’s primary objective is to engage the hostesses at the night lounge in various activities so as to develop relationships with them. Female characters can be dressed in revealing clothing which barely covers their groin region and breasts. Although the genitalia and nipples are not shown, the frequent depiction of scantily-clad female characters is not suitable for young gamers. According to the ‘Age Advisory’ guidelines for nudity, “Still or moving images which may be mildly suggestive may be featured”."
LEGO LEGENDS OF CHIMA: LAVAL’S JOURNEY,LEGO LEGENDS OF CHIMA: LAVAL’S JOURNEY,,WARNER BROS,2013,"ASIA,EURO",Approved,"Nintendo DS,Nintendo 3DS,Sony PS Vita",General,,10/04/2013,
MIGHT & MAGIC HEROES VI: SHADES OF DARKNESS,MIGHT & MAGIC HEROES VI: SHADES OF DARKNESS,MIGHT AND MAGIC HEROES VI: SHADES OF DARKNESS,UBISOFT,2013,EURO,Approved,PC,General,,10/04/2013,
DEAD OR ALIVE 5 ULTIMATE,DEAD OR ALIVE 5 ULTIMATE,,TECMO KOEI,2013,ASIA,Approved,"Sony Playstation 3,Xbox 360",Age Advisory,,09/07/2013,"‘Dead or Alive 5 Ultimate’ is a fighting game where players control fighters taking part in martial arts fights that occur in an arena. In the story mode, the ninja Kasumi and other characters uncover a plot where clones of herself are created for nefarious purposes. They go on to participate in a tournament so as to infiltrate the cloning facility and stop the sinister plan. Players can play out different sub-stories depending on the characters that they choose. Gameplay comprises of arena fighting between characters that are selected from a roster of fighters who use different martial arts styles. Players can fight one-on-one or in tag battles with a partner, using an array of hand-to-hand combat and grapple moves. The fight ends when one party’s health is depleted or if the character(s) are knocked out of the arena. The game is classified with the advisory ‘Suitable for 16 & Above’. The level of violence in the game is mild as details such as blood, injuries, dismemberments and decapitations, are not depicted. While there is no nudity in the game, female characters boast voluptuous figures and are often depicted in revealing outfits. A feature in the game allows the player to manipulate the camera after each fight to view the game characters’ fighting postures. Depending on the choice of outfit and the final pose of the character, the undergarment may be visible at certain camera angles. The classification guidelines at Age Advisory state that “still or moving images which may be mildly suggestive may be featured, e.g. scantily-clad women in bikinis or lingerie”."
ARCADIAS NO IKUSAHIME,ARCADIAS NO IKUSAHIME,BATTLE PRINCESS OF ARCADIAS,NIPPON ICHI SOFTWARE INC,2013,ASIA,Approved,Sony Playstation 3,General,,12/08/2013,
SIMCITY: CITIES OF TOMORROW,SIMCITY: CITIES OF TOMORROW,,ELECTRONIC ARTS,2013,ASIA,Approved,"Macintosh,PC",General,,29/08/2013,
NEED FOR SPEED: RIVALS,NEED FOR SPEED: RIVALS,,ELECTRONIC ARTS,2013,ASIA,Approved,"PC,Sony Playstation 3,Sony Playstation 4,Xbox 360,Xbox One",General,,29/08/2013,
FIFA MANAGER 14,FIFA MANAGER 14,,ELECTRONIC ARTS,2013,ASIA,Approved,PC,General,,29/08/2013,
THE CROODS: PREHISTORIC PARTY!,THE CROODS: PREHISTORIC PARTY!,,D3 PUBLISHER OF AMERICA,2013,ASIA,Approved,"Nintendo DS,Nintendo Wii,Nintendo 3DS,Nintendo Wii U",General,,13/03/2013,
LUIGI'S MANSION: DARK MOON,LUIGI'S MANSION: DARK MOON,LUIGI'S MANSION 2,NINTENDO OF AMERICA,2013,ASIA,Approved,Nintendo 3DS,General,,13/03/2013,
MONSTER HIGH: SKULTIMATE ROLLER MAZE,MONSTER HIGH: SKULTIMATE ROLLER MAZE,,LITTLE ORBIT,2013,ASIA,Approved,"Nintendo DS,Nintendo Wii,Nintendo 3DS",General,,13/03/2013,
MONSTER HUNTER 3 ULTIMATE,MONSTER HUNTER 3 ULTIMATE,MONSTER HUNTER 3G (JP) / MONSTER HUNTER 3G HD VER. (JP),CAPCOM,2013,ASIA,Approved,"Nintendo 3DS,Nintendo Wii U",General,,13/03/2013,
SINS OF A SOLAR EMPIRE: REBELLION,SINS OF A SOLAR EMPIRE: REBELLION,,KALYPSO,2013,US,Approved,PC,General,,30/04/2013,
ANIMAL CROSSING: NEW LEAF,ANIMAL CROSSING: NEW LEAF,,NINTENDO OF AMERICA,2013,ASIA,Approved,Nintendo 3DS,General,,30/05/2013,
LOST PLANET 3,LOST PLANET 3,,CAPCOM,2013,ASIA,Approved,"PC,Sony Playstation 3,Xbox 360",General,,27/06/2013,
FIFA 14,FIFA 14,FIFA 14 LIMITED EDITION/ULTIMATE EDITION/COLLECTOR'S EDITION,ELECTRONIC ARTS,2013,ASIA,Approved,"Nintendo Wii,Nintendo 3DS,PC,Sony Playstation 3,Sony Playstation 4,Sony Playstation Portable (PSP),Sony PS Vita,Xbox 360,Xbox One",General,,11/07/2013,
軒轅劍 6,XUAN YUAN JIAN 6,XUAN YUAN SWORD 6,SOFTSTAR,2013,ASIA,Approved,PC,General,,07/08/2013,
THE WALKING DEAD: SURVIVAL INSTINCT,THE WALKING DEAD: SURVIVAL INSTINCT,,ACTIVISION,2013,US,Approved,"Nintendo Wii U,Sony Playstation 3,Xbox 360",Mature 18,VIOLENCE AND GORE,30/01/2013,"‘The Walking Dead: Survival Instinct’ is a first-person shooter based on the television series “The Walking Dead”. The player takes on the role of a survivor in a zombie apocalypse that has turned most of the population in America into zombies. As the epidemic spreads to the countryside, the main character is forced to abandon his home and travel towards Atlanta, where a quarantine facility is said to have been set up. Along the way, he meets other survivors; including his own brother. This game is classified M18 with the consumer advice “Violence and Gore”. The player has to salvage tools and weapons that are used to fend off zombies. Although combat against zombies is only necessary at certain points in the game, the player may choose to engage those that populate an area. Realistic injuries are depicted when specific body parts are targeted by the player, resulting in dismemberments and decapitations. Zombie corpses can also be dismembered or decapitated if attacked. Explosives, such as propane tanks and grenades, will cause nearby zombies to blow up into a gush of blood and torn pieces of flesh. During combat sequences, blood spurting occurs frequently and will stain nearby surfaces. In a cut-scene depicted in first-person view from the player’s perspective, a zombie is seen pulling out a blood-soaked intestine and chewing on it. At other times, the player may also encounter groups of zombies that are cannibalising human corpses. These zombies are seen crouching around a dead body and gnashing sound effects can be heard. These portrayals of violence fall within the M18 guidelines which allow for “depictions of realistic violence such as killing, maiming or causing other serious injury to humanoid characters, if it is not sadistic, cruel or abhorrent”. Coarse language, such as the word ‘f**k’, is uttered occasionally by the player character after he kills a zombie."
SLY COOPER: THIEVES IN TIME,SLY COOPER: THIEVES IN TIME,,SONY COMPUTER ENTERTAINMENT INC,2013,ASIA,Approved,"Sony Playstation 3,Sony PS Vita",General,,18/01/2013,
スーパーロボット大戦OGサーガ 魔装機神III PRIDE OF JUSTICE,SUPER ROBOT TAISEN OG SAGA MASOU KISHIN III PRIDE OF JUSTICE,,NAMCO BANDAI GAMES ASIA,2013,ASIA,Approved,"Sony Playstation 3,Sony PS Vita",General,,28/06/2013,
朧村正,OBORO MURAMASA,,MARVELOUS AQL,2013,ASIA,Approved,Sony PS Vita,General,,02/04/2013,
MURAMASA REBIRTH,MURAMASA REBIRTH,,AKYSYS / MARVELOUS AQL INC,2013,"ASIA,US",Approved,Sony PS Vita,General,,15/04/2013,
SHIN MEGAMI TENSEI 4,SHIN MEGAMI TENSEI IV,,ATLUS,2013,ASIA,Approved,Nintendo 3DS,Age Advisory,,16/07/2013,"‘Shin Megami Tensei IV’ is a role-playing game set in a fictional Japan, and takes place in the Eastern Kingdom of Mikado, and a Tokyo trapped in perpetual darkness and constantly attacked by demons. The protagonist Flynn is a new recruit who has just joined the elite ranks of the Samurai, who are noble warriors and protectors of the realm. Samurais are equipped with a device known as the Gauntlet, which allows them to summon and control demons during battle. Flynn and his party of 4 other recruits have to investigate and confront the mysterious Black Samurai, who seems to be the cause of chaos throughout the country. The game is classified with the advisory “Suitable for 16 & Above”. The player will control the main protagonist and his party characters on a variety of missions. Combat occurs frequently against fantasy creatures and demons such as harpies, succubus and an assortment of monsters and beasts. Blood splatters when characters take damage, but no actual combat is depicted, with the player making the combat selection in the menu and health points being deducted off the enemy target, accompanied by flashes and sound effects to depict damage. When enemies are killed, they fade out, or sometimes explode in a splatter of blood with no details. In some dialogue and story screens, blood stains are visible in the environment. Age Advisory guidelines allow a “Moderate level of violence. This refers to realistic but not excessively graphic violence with depiction of blood.” Several female characters and enemy creatures appear in suggestive outfits that reveal cleavage. Some creatures are also partially naked, but details such as nipples and genitalia are not depicted. The guidelines for Age Advisory permit “Nudity without details”, and state that “Still or moving images which may be mildly suggestive may be featured, e.g. scantily-clad women in bikinis or lingerie”."
TURBO: SUPER STUNT SQUAD,TURBO: SUPER STUNT SQUAD,,D3PUBLISHER,2013,US,Approved,"Nintendo DS,Nintendo Wii,Nintendo 3DS,Nintendo Wii U,Sony Playstation 3,Xbox 360",General,,10/06/2013,
ARMORED CORE: VERDICT DAY,ARMORED CORE: VERDICT DAY,,NAMCO BANDAI GAMES,2013,ASIA,Approved,"Sony Playstation 3,Xbox 360",General,,10/06/2013,
PROJECT X ZONE,PROJECT X ZONE,,NAMCO BANDAI GAMES,2013,US,Approved,Nintendo 3DS,General,,10/06/2013,
WORLD SOCCER: WINNING ELEVEN 2014,WORLD SOCCER: WINNING ELEVEN 2014,PRO EVOLUTION SOCCER 2014,KONAMI DIGITAL ENETERTAINMENT CO. LTD,2013,ASIA,Approved,"Nintendo 3DS,PC,Sony Playstation 3,Sony Playstation Portable (PSP),Xbox 360",General,,12/08/2013,
THE SIMS 3 MOVIE STUFF,THE SIMS 3 MOVIE STUFF,,ELECTRONIC ARTS,2013,ASIA,Approved,"Macintosh,PC",General,,11/07/2013,
POKEMON MYSTERY DUNGEON: GATES TO INFINITY,POKEMON MYSTERY DUNGEON: GATES TO INFINITY,,NINTENDO OF AMERICA,2013,ASIA,Approved,Nintendo 3DS,General,,22/03/2013,
HEAVY FIRE: SHATTERED SPEAR,HEAVY FIRE: SHATTERED SPEAR,,MASTIFF,2013,US,Approved,"PC,Sony Playstation 3,Xbox 360",General,,22/03/2013,
CABELAS SURVIVAL: SHADOWS OF KATMAI,CABELAS SURVIVAL: SHADOWS OF KATMAI,,ACTIVISION,2011,US,Approved,Sony Playstation 3,General,,22/03/2013,
FIRE EMBLEM: AWAKENING,FIRE EMBLEM AWAKENING,,NINTENDO OF AMERICA,2013,ASIA,Approved,Nintendo 3DS,General,,31/01/2013,
THE SIMS 3 ISLAND PARADISE,THE SIMS 3 ISLAND PARADISE,THE SIMS 3 ISLAND PARADISE LIMITED EDITION,ELECTRONIC ARTS,2013,ASIA,Approved,"Macintosh,PC",General,,15/04/2013,
SUPERSTARS V8 NEXT CHALLENGE,SUPERSTARS V8 NEXT CHALLENGE,,BLACK BEAN GAMES,2010,EURO,Approved,"PC,Sony Playstation 3,Xbox 360",General,,11/06/2013,
ジョジョの奇妙な冒険 オールスターバトル,JOJO'S BIZARRE ADVENTURE: ALL STAR BATTLE,,NAMCO BANDAI GAMES ASIA,2013,ASIA,Approved,Sony Playstation 3,General,,04/07/2013,
STAR TREK,STAR TREK,,NAMCO BANDAI GAMES,2013,ASIA,Approved,"PC,Sony Playstation 3,Xbox 360",General,,13/03/2013,
